PASSENGERS,ORIGIN,DEST,YEAR,MONTH
0,ANC,GAM,2018,3
0,ANC,GLV,2018,3
0,ANC,GNU,2018,3
0,ANC,HCR,2018,3
0,ANC,HPB,2018,3
0,ANC,IAN,2018,3
0,ANC,KAL,2018,3
0,ANC,KGX,2018,3
0,ANC,KKA,2018,3
0,ANC,KKH,2018,3
0,ANC,KKI,2018,3
0,ANC,KLG,2018,3
0,ANC,KOT,2018,3
0,ANC,KPN,2018,3
0,ANC,KTS,2018,3
0,ANC,KUK,2018,3
0,ANC,KVL,2018,3
0,ANC,KWK,2018,3
0,ANC,KWN,2018,3
0,ANC,KWT,2018,3
0,ANC,MLL,2018,3
0,ANC,MOU,2018,3
0,ANC,MYU,2018,3
0,ANC,NME,2018,3
0,ANC,NUI,2018,3
0,ANC,NUL,2018,3
0,ANC,NUP,2018,3
0,ANC,OBU,2018,3
0,ANC,OME,2018,3
0,ANC,OOK,2018,3
0,ANC,ORV,2018,3
0,ANC,PIZ,2018,3
0,ANC,PKA,2018,3
0,ANC,PPC,2018,3
0,ANC,PQS,2018,3
0,ANC,PTU,2018,3
0,ANC,RBY,2018,3
0,ANC,RSH,2018,3
0,ANC,SCM,2018,3
0,ANC,SHX,2018,3
0,ANC,SKK,2018,3
0,ANC,SLQ,2018,3
0,ANC,SMK,2018,3
0,ANC,SRV,2018,3
0,ANC,SVA,2018,3
0,ANC,SXP,2018,3
0,ANC,TNK,2018,3
0,ANC,VAK,2018,3
0,ANC,WBB,2018,3
0,ANC,WLK,2018,3
0,ANC,WMO,2018,3
0,ANC,WNA,2018,3
0,ANC,WTK,2018,3
0,ANC,WTL,2018,3
0,ANC,WWT,2018,3
0,BET,ADQ,2018,3
0,BET,DLG,2018,3
0,BET,ENA,2018,3
0,BET,FAI,2018,3
0,BET,GAL,2018,3
0,BET,GAM,2018,3
0,BET,KKA,2018,3
0,BET,SVA,2018,3
0,BET,WBB,2018,3
0,BET,WTK,2018,3
0,ENA,ADQ,2018,3
0,ENA,BET,2018,3
0,ENA,BRW,2018,3
0,ENA,CDB,2018,3
0,ENA,DLG,2018,3
0,ENA,EMK,2018,3
0,ENA,FAI,2018,3
0,ENA,GNU,2018,3
0,ENA,HOM,2018,3
0,ENA,KPN,2018,3
0,ENA,KVL,2018,3
0,ENA,KWK,2018,3
0,ENA,OME,2018,3
0,ENA,OOK,2018,3
0,ENA,OTZ,2018,3
0,ENA,RSH,2018,3
0,ENA,VDZ,2018,3
0,FAI,ADQ,2018,3
0,FAI,AIN,2018,3
0,FAI,ANI,2018,3
0,FAI,ANV,2018,3
